"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Manny Machado","Padres","149","641","576","165","33","2","34","86","99","56","98","8","3",".287",".350",".528",".878",".369","16.9","11493"
"Francisco Lindor","Indians","141","609","543","157","31","3","28","87","90","55","88","16","5",".290",".357",".511",".868",".368","11.8","12916"
"Trevor Story","Rockies","149","647","582","156","39","4","35","97","100","54","187","18","3",".268",".334",".533",".867",".365","17.6","12564"
"Carlos Correa","Astros","149","648","570","159","34","2","27","91","90","69","137","6","1",".279",".358",".486",".843",".360","50.5","14162"
"Corey Seager","Dodgers","147","647","573","161","39","2","24","86","87","64","131","3","1",".281",".357",".484",".841",".359","84.1","13624"
"Jung Ho Kang","Pirates","57","184","162","43","9","0","9","24","27","17","43","2","0",".263",".345",".486",".832",".356","513.9","17182"
"Xander Bogaerts","Red Sox","149","649","581","168","34","2","23","90","86","57","114","10","2",".289",".355",".474",".828",".355","47.6","12161"
"Asdrubal Cabrera","Rangers","138","589","534","147","33","2","23","73","80","45","109","3","1",".275",".334",".478",".811",".346","229.3","4962"
"Didi Gregorius","Yankees","68","296","268","74","14","1","13","39","39","20","38","4","1",".278",".332",".479",".811",".345","390.0","6012"
"Javier Baez","Cubs","147","645","597","161","32","3","33","89","95","34","171","15","4",".270",".315",".502",".817",".343","16.4","12979"
"Trea Turner","Nationals","149","652","590","165","30","5","19","93","73","53","126","36","7",".280",".342",".444",".785",".339","7.8","16252"
"Troy Tulowitzki","Yankees","73","317","284","74","13","0","13","40","41","27","63","1","0",".259",".327",".448",".775",".333","487.4","3531"
"Eduardo Escobar","Diamondbacks","144","618","559","144","34","6","21","72","78","49","124","5","1",".257",".319",".451",".770",".327","182.8","6153"
"Jurickson Profar","Athletics","143","607","535","137","31","4","16","74","63","58","92","8","2",".256",".336",".418",".754",".327","125.9","10815"
"Daniel Robertson","Rays","87","374","324","82","16","1","10","43","40","39","86","3","1",".252",".344",".400",".744",".327","553.7","14145"
"Paul DeJong","Cardinals","139","605","552","138","30","2","27","73","82","40","165","2","1",".250",".308",".458",".766",".327","185.9","18015"
"Ian Desmond","Rockies","130","523","472","123","23","3","17","70","60","41","130","16","4",".260",".324",".429",".753",".326","143.0","6885"
"Jorge Polanco","Twins","143","608","548","148","33","4","15","77","62","48","102","14","4",".271",".330",".425",".755",".326","225.1","13152"
"Chris Taylor","Dodgers","131","575","514","130","29","4","17","74","63","53","157","11","3",".252",".327",".423",".749",".325","232.5","13757"
"Zack Cozart","Angels","146","628","560","141","29","3","22","77","74","54","104","4","1",".251",".322",".430",".752",".325","499.2","2616"
"Elvis Andrus","Rangers","151","645","588","164","33","3","14","80","68","45","94","17","5",".278",".331",".416",".747",".324","179.6","8709"
"Ketel Marte","Diamondbacks","147","632","572","154","31","6","13","73","66","53","91","8","2",".270",".332",".412",".744",".321","224.3","13613"
"Jean Segura","Phillies","147","642","594","169","26","4","14","80","68","34","88","23","6",".284",".329",".413",".741",".321","63.0","5933"
"Marcus Semien","Athletics","149","635","569","142","31","3","18","76","66","57","126","13","3",".250",".319",".411",".731",".317","227.6","12533"
"Jose Peraza","Reds","141","615","571","162","27","5","12","78","63","28","78","25","5",".283",".322",".411",".733",".316","96.5","13593"
"Garrett Hampson","Rockies","79","264","238","64","13","2","4","33","24","22","50","9","2",".269",".331",".394",".725",".316","193.8","19262"
"Aledmys Diaz","Astros","31","134","124","32","7","0","5","16","17","7","20","2","0",".258",".305",".431",".735",".315","498.1","15937"
"Brad Miller","Dodgers","15","64","56","13","3","0","2","8","7","7","18","1","0",".230",".314",".413",".727",".315","999.0","12775"
"Max Moroff","Indians","42","182","157","36","8","1","6","22","20","22","52","2","1",".227",".324",".396",".720",".315","999.0","14556"
"Brandon Crawford","Giants","147","631","568","144","32","4","17","69","73","51","129","5","2",".253",".319",".413",".732",".313","490.2","5343"
"Andrelton Simmons","Angels","151","649","596","160","29","3","13","76","67","42","59","11","3",".269",".319",".395",".714",".310","236.0","10847"
"Lourdes Gurriel Jr.","Blue Jays","73","308","288","75","14","1","10","35","34","14","70","3","1",".259",".298",".418",".716",".308","274.7","19238"
"Addison Russell","Cubs","86","376","339","83","19","2","10","42","41","31","84","2","1",".246",".313",".398",".711",".308","560.5","14106"
"Fernando Tatis Jr.","Padres","57","244","221","52","11","1","8","29","28","19","75","5","1",".237",".302",".411",".713",".307","299.2","sa919910"
"Carter Kieboom","Nationals","3","14","13","3","1","0","0","2","2","1","4","0","0",".246",".310",".397",".707",".306","593.1","sa917937"
"Dansby Swanson","Braves","122","529","476","118","25","3","14","59","60","45","120","7","2",".248",".315",".401",".716",".305","446.5","18314"
"Jonathan Villar","Orioles","134","560","505","123","21","2","16","70","49","48","159","33","7",".244",".312",".387",".699",".305","81.0","10071"
"Willy Adames","Rays","144","616","550","134","27","4","14","68","63","58","173","9","3",".243",".317",".384",".701",".305","233.1","15986"
"Tim Beckham","Mariners","49","207","188","45","8","1","7","23","23","15","58","2","1",".240",".300",".403",".702",".305","520.3","7949"
"Tim Anderson","White Sox","147","620","583","151","27","4","19","73","65","27","159","20","4",".259",".295",".414",".708",".304","135.5","15172"
"Adalberto Mondesi","Royals","151","631","579","139","27","7","21","81","63","35","175","35","6",".241",".286",".421",".707",".302","41.5","13769"
"Jordy Mercer","Tigers","113","479","432","109","23","2","10","48","50","37","87","2","1",".252",".315",".386",".701",".301","582.9","6547"
"Jose Rondon","White Sox","34","143","132","32","7","1","5","16","15","8","35","3","1",".245",".291",".405",".697",".300","999.0","14140"
"Greg Garcia","Padres","60","178","155","38","7","1","2","19","14","18","35","2","1",".243",".329",".339",".668",".298","999.0","10951"
"Franklin Barreto","Athletics","49","207","189","43","9","1","7","24","23","14","70","4","1",".228",".287",".402",".689",".297","531.8","15519"
"Yairo Munoz","Cardinals","70","262","242","60","12","1","7","29","28","16","58","5","2",".248",".298",".390",".688",".296","489.4","16313"
"Chris Owings","Royals","94","393","363","91","21","2","8","42","40","24","85","11","2",".250",".300",".386",".686",".296","568.4","10030"
"Domingo Leyba","Diamondbacks","2","7","6","2","0","0","0","1","1","0","1","0","0",".250",".305",".371",".676",".294","999.0","sa736654"
"Nick Ahmed","Diamondbacks","146","617","565","132","28","4","17","66","67","43","124","8","2",".234",".290",".390",".680",".293","499.5","12147"
"Pat Valaika","Rockies","36","115","106","25","6","1","4","13","13","6","30","1","0",".234",".278",".405",".683",".293","999.0","14885"
"Jose Reyes","","32","140","127","31","6","1","3","16","13","11","23","4","1",".242",".302",".369",".670",".292","999.0","1736"
"Tzu-Wei Lin","Red Sox","3","14","13","3","1","0","0","2","1","1","3","0","0",".242",".304",".364",".667",".292","999.0","14678"
"Jose Iglesias","Reds","32","141","131","34","7","0","2","16","13","7","19","4","1",".261",".304",".364",".668",".292","590.4","10231"
"Ehire Adrianza","Twins","10","41","37","9","2","0","1","5","4","3","9","1","0",".241",".303",".366",".669",".291","600.4","8418"
"Freddy Galvis","Blue Jays","97","410","378","91","18","2","10","45","39","26","90","7","2",".242",".291",".380",".672",".290","539.9","6609"
"J.P. Crawford","Mariners","113","482","420","91","19","2","10","49","42","53","119","6","2",".217",".308",".344",".652",".289","546.8","15491"
"Amed Rosario","Mets","147","632","590","149","27","5","11","70","55","32","138","20","6",".253",".295",".371",".666",".288","143.3","15518"
"Miguel Rojas","Marlins","71","261","240","62","10","1","4","25","22","14","35","3","1",".257",".305",".353",".658",".287","580.7","7802"
"Ronny Rodriguez","Tigers","19","82","76","18","4","0","2","9","8","4","18","1","0",".241",".279",".385",".664",".286","999.0","11875"
"Nick Gordon","Twins","5","21","19","5","1","0","0","2","2","1","5","0","0",".246",".298",".356",".654",".285","598.7","sa828662"
"Mauricio Dubon","Brewers","11","49","45","11","2","0","1","5","4","3","9","1","0",".246",".292",".362",".654",".284","596.4","sa738378"
"Charlie Culberson","Braves","57","166","154","36","7","1","4","18","18","9","42","2","1",".234",".283",".374",".657",".283","577.6","3298"
"Yu Chang","Indians","2","7","6","1","0","0","0","1","1","1","2","0","0",".213",".283",".366",".649",".283","600.3","sa830276"
"Wilmer Difo","Nationals","50","179","163","39","7","1","3","19","17","13","35","4","1",".241",".299",".351",".650",".282","595.6","14320"
"Abiatal Avelino","Giants","5","21","19","5","1","0","0","2","2","1","5","1","0",".243",".288",".360",".648",".282","999.0","15496"
"Kevin Newman","Pirates","66","286","264","67","14","1","3","28","26","16","43","6","1",".254",".300",".347",".647",".281","590.8","17696"
"Willi Castro","Tigers","8","34","32","8","2","0","1","3","3","2","8","1","0",".241",".285",".362",".647",".280","999.0","sa830274"
"Tyler Saladino","Brewers","29","86","78","17","3","0","2","9","8","6","21","2","0",".224",".288",".350",".638",".280","999.0","10807"
"Scott Kingery","Phillies","107","344","319","74","15","2","9","36","35","19","88","8","1",".231",".279",".369",".647",".280","415.8","17975"
"Orlando Arcia","Brewers","130","562","522","126","25","2","11","59","53","32","121","12","3",".242",".287",".360",".647",".280","454.4","13185"
"J.T. Riddle","Marlins","113","477","441","105","19","2","10","44","42","29","100","3","1",".238",".285",".360",".645",".279","593.0","17642"
"Cole Tucker","Pirates","8","35","32","7","2","0","0","4","3","3","8","1","0",".233",".296",".342",".637",".279","600.8","sa828671"
"Oscar Mercado","Indians","16","70","64","15","3","0","1","8","6","5","15","3","1",".233",".292",".344",".636",".279","598.0","sa737612"
"Ronald Torreyes","Twins","11","48","45","12","2","0","0","5","4","2","6","0","0",".259",".297",".341",".638",".279","999.0","11400"
"Richard Urena","Blue Jays","19","82","76","18","4","0","2","8","8","4","20","1","0",".236",".278",".366",".643",".277","999.0","16411"
"Drew Jackson","Orioles","44","182","162","35","7","0","4","18","14","15","52","4","1",".214",".291",".334",".625",".277","999.0","sa659066"
"Adeiny Hechavarria","Mets","16","50","46","11","2","0","1","5","5","3","9","0","0",".241",".283",".353",".636",".275","999.0","10459"
"Sergio Alcantara","Tigers","11","48","43","10","2","0","0","5","4","4","10","1","0",".238",".297",".322",".619",".273","999.0","sa739641"
"Richie Martin","Orioles","49","203","184","42","8","1","3","19","15","15","48","4","1",".227",".291",".325",".617",".272","585.1","sa659080"
"Alcides Escobar","Orioles","65","270","251","61","11","1","3","24","21","12","44","5","1",".242",".280",".332",".613",".268","596.6","6310"
"Eric Stamets","Indians","3","14","13","3","1","0","0","1","1","1","4","0","0",".205",".269",".332",".601",".265","999.0","sa621787"
"Arquimedes Gamboa","Phillies","2","7","6","1","0","0","0","1","1","1","2","0","0",".207",".275",".319",".594",".262","999.0","sa877497"
"Blake Trahan","Reds","3","14","13","3","1","0","0","1","1","1","3","0","0",".221",".283",".309",".593",".262","999.0","17588"
"Jorge Mateo","Athletics","3","14","13","3","1","0","0","2","1","1","4","1","0",".212",".263",".335",".598",".260","599.2","sa657910"
"Kristopher Negron","Mariners","6","28","25","5","1","0","1","3","2","2","9","0","0",".196",".261",".309",".569",".253","999.0","5306"
"Javier Guerra","Padres","3","14","13","2","1","0","0","1","1","1","5","0","0",".189",".240",".309",".548",".240","999.0","17292"
